image,name,category,location,color,size,amount,comments,claimed,hidden
"('src', 'https://drive.google.com/thumbnail?id=17l30W93xJgd3x5UGAmp8Mu0nb9iD7tj9&sz=w200-h200')",curved sable,Weapon,12 - Tall items/Corner,gray/silver and gold,about 50 cm,1,Pirates,None,0
"('src', 'https://drive.google.com/thumbnail?id=1bNyhYiEZ5mmnbFOJcQ3SGmltnVy9xDWv&sz=w200-h200')",straight sable,Bladed,12 - Tall items/Corner,gold & silver,,1,made with wood,None,0
"('src', 'https://drive.google.com/thumbnail?id=1EmDKyfqZTCDYva0ShZecuDw4Kfq20AaF&sz=w200-h200')",sickle,Bladed,12 - Tall items/Corner,grey & black,,1,needs a hammer,None,0
"('src', 'https://drive.google.com/thumbnail?id=14XJkErMkobf2kfr7roBYdgHwQ-WrXd8A&sz=w200-h200')",wooden shortsword,Bladed,12 - Tall items/Corner,wood,~50 cm,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=11-VHK4rFrjzOpEIRytYM9uQsTZO0kGIK&sz=w200-h200')",plastic shotguns,Gun,12 - Tall items/Corner,black,about 40 cm,2,"2 shotguns one with a viser on top, which is also the gun broken gun held together with tape",None,0
"('src', 'https://drive.google.com/thumbnail?id=1e_jnlofMaB0g4UEdezjM0JYa4Deutbzl&sz=w200-h200')",Quiver with arrows,Bow,12 - Tall items/Corner,"brown, white tips",about 1 m,,2 arrowtips are missing,None,0
"('src', 'https://drive.google.com/thumbnail?id=1ve7iW32DbNHOlpPTFR2TEtu0TJbatZur&sz=w200-h200')",old walking cane,Long,12 - Tall items/Corner,light brown,~1 m,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Aa8Xb78xf7yYTcYPX0SfsuEbjs1Tz9J7&sz=w200-h200')",modern walking cane,Long,12 - Tall items/Corner,dark brown,~1 m,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1CmB0SQCpeNQo34nkmS3pqGQVJFxAWNTe&sz=w200-h200')",High chair,Chairs,12 - Tall items/Corner,silver with brown,1-1.5 m,1,The chair is collapsible,None,0
"('src', 'https://drive.google.com/thumbnail?id=1tEKT0wVfoKzdcig0LAqUWlAbS7_Y_WYK&sz=w200-h200')",walking cane with cloth,Long,12 - Tall items/Corner,light brown & white,a bit over 1 m,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Rc1jKdO6LkbGCzLsbrqJIwz3gN1EmBa-&sz=w200-h200')",umbrella,Handheld,12 - Tall items/Corner,white,,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1vbdBvlFGlrsZAuBrbNCWQU3pnx_jrYbP&sz=w200-h200')",carpet beater,Melee,12 - Tall items/Corner,brown,~ 1 m,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=10yTvlMUa6KcPZhRntlx86TsaRGov28Kk&sz=w200-h200')",short pvc pipes,Materials ,12 - Tall items/Corner,yellow,1 m & 80 cm,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1jOi6SubmDAA1LDV_14FVZGv2iZ3zbkgA&sz=w200-h200')",police batton,Melee,12 - Tall items/Corner,black,~ 50 cm,2,,None,0
